Name,Address,RATING,CURRENT,RISK
BUCKY DEXTER'S,4213 S 84 ST,STANDARD,3/6/18,LOW
Bucky's,13736 Q ST,STANDARD,12/14/18,MEDIUM
Bucky's #70,3529 S 72nd St,EXCELLENT,7/24/18,MEDIUM
Bucky's #76,7660 Dodge ST,EXCELLENT,6/19/18,MEDIUM
Bucky's 58,5718 NW Radial HWY,EXCELLENT,10/31/18,MEDIUM
Bucky's Amoco,2223 S 24th,EXCELLENT,3/13/18,MEDIUM
Bucky's Amoco,101 N 30th,STANDARD,7/13/18,MEDIUM
Bucky's Amoco #32,3909 N 132nd,STANDARD,8/23/18,LOW
Bucky's Express,6003 Center ST,STANDARD,2/5/18,MEDIUM
Bucky's Express,4805 S 108th ST,EXCELLENT,3/14/18,MEDIUM
Bucky's Express #12134,10202 Maple ST,EXCELLENT,5/10/18,MEDIUM
Bucky's Express #13,2765 S 13th CT,STANDARD,3/14/18,MEDIUM
Bucky's Express #20,2510 S 132nd ST,EXCELLENT,2/21/18,LOW
Bucky's Express #21,20402 Veterans DR,EXCELLENT,9/18/18,MEDIUM
Bucky's Express #40,107 S 40th ST,STANDARD,12/17/18,MEDIUM
Bucky's Express #42,3435 S 42nd ST,STANDARD,1/15/19,MEDIUM
Bucky's Express #61,2635 S 160th ST,STANDARD,2/22/18,LOW
Bucky's Express #72,2901 N 72nd ST,STANDARD,3/23/18,MEDIUM
Bucky's Express #831,4414 N 30th ST,STANDARD,1/24/18,LOW
Bucky's Express #84,3052 S 84th ST,STANDARD,2/8/18,MEDIUM
Bucky's Express #96,9645 Ida ST,STANDARD,6/29/18,MEDIUM
BUFFALO WILD WINGS,4287 S 144 ST,EXCELLENT,9/6/18,HIGH
Buffalo Wild Wings #72,13214 W Maple Rd,EXCELLENT,8/28/18,HIGH
Buffalo Wild Wings Grill,205 N 76th ST,EXCELLENT,1/18/19,HIGH
Buffalo Wings & Rings,12240 L ST,EXCELLENT,11/13/18,HIGH
Buffet Middle School,14101 Larimore AVE,EXCELLENT,9/6/18,HIGH
BUFFETT CANCER CENTER,4401 DEWEY AVE,EXCELLENT,10/31/18,HIGH
Build A Burger,4725 S 96th St,EXCELLENT,9/27/18,HIGH
