Name,Address,RATING,CURRENT,RISK
Scooter's Coffee House,10000 California ST,EXCELLENT,09/29/17,LOW
Scooter's Coffee House,10309 Pacific ST,STANDARD,02/20/18,LOW
Snow Daze,4702 S 27th St,STANDARD,07/31/18,LOW
Southern Glazers Wine and Spirts of Nebraska,4433 S 96TH ST,STANDARD,09/25/17,LOW
Speedy Gas N Shop,5822 Maple St,STANDARD,01/04/18,LOW
Spring Lake Golf Snack Bar,4020 Hoctor BLVD,STANDARD,10/17/17,LOW
Spruce Street Tavern, 327 N Spruce ST  Valley ,STANDARD,08/28/17,LOW
Still Poppin Gourment Popcorn,8501 N 30th,STANDARD,12/13/18,LOW
T HENRY'S PUB,318 S 11 ST,STANDARD,08/17/18,LOW
TOBACCO & PHONES 4 LESS,5444 CENTER ST,STANDARD,02/15/18,LOW
TOYS 'R' US,3435 OAKVIEW DR,EXCELLENT,10/31/17,LOW
TRAP ROOM (THE),733 N 14 ST,EXCELLENT,10/23/17,LOW
TURF CLUB,2404 S 60 ST,STANDARD,03/12/18,LOW
The Bull and the Bear,11341 Davenport St,STANDARD,08/29/17,LOW
Tobacco & Phones 4 Less,4429 California ST,STANDARD,10/06/17,LOW
Tobacco & Phones 4 Less,7204 Blondo ST,STANDARD,12/27/17,LOW
Tobacco & Phones 4 Less,4725 S 77th AVE -RALSTON,STANDARD,10/26/18,LOW
Tobacco 4 Less,4108 Dodge ST,STANDARD,05/02/18,LOW
Tobacco Hut #15,5434 N 103rd,STANDARD,10/02/17,LOW
Tobacco Hut #19,6206 AMES AVE,STANDARD,08/28/17,LOW
Tobacco Road Discount,1414 S Saddle Creek RD,STANDARD,03/20/18,LOW
UNDERWOOD BAR,4918 UNDERWOOD AVE,STANDARD,10/05/17,LOW
VARSITY SPORTS CAFÉ/ROMAN COIN PIZZA,9735 Q ST,STANDARD,06/25/18,LOW
VIC'S CORN POPPER,3001 S 144 ST,STANDARD,06/07/18,LOW
VILLAGE BAR - RALSTON,5700 S 77 ST,STANDARD,09/01/17,LOW
VIP LOUNGE,9001 ARBOR ST,STANDARD,05/08/18,LOW
VIP NUTRITION,828 PARK AVE,STANDARD,04/26/18,LOW
WAITING ROOM (THE),6212 MAPLE ST,EXCELLENT,09/19/17,LOW
WAOO DANCING CLUB,10730 PACIFIC ST,EXCELLENT,08/11/17,LOW
WEAVER LOUNGE,401 S 16 ST,EXCELLENT,11/27/17,LOW
WICKED RABBIT,1508 HARNEY ST,STANDARD,08/08/17,LOW
WINE 121,12100 W CENTER RD STE 905,STANDARD,11/07/17,LOW
WINNERS LOUNGE,5413 S 72 ST,STANDARD,11/15/18,LOW
Walgreens #06802,15525 Spaulding Plaza,EXCELLENT,09/15/17,LOW
Walgreens #07563,8989 W Dodge ST,EXCELLENT,10/11/17,LOW
Walgreens #15237,2929 N 60th ST,EXCELLENT,08/31/17,LOW
